,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
225,SPY190204C00246000_20190204_10,24.57,24.27,2019-02-04,0.8710950391,16.5,2019-01-22 19:39:58,29.0,2019-02-04T16:25:01.000Z,SPY,246.0,SPY190204C00246000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
227,SPY190204C00247000_20190204_10,23.59,23.35,2019-02-04,0.8671888281,16.4,2019-01-17 19:41:09,869.0,2019-02-04T16:25:01.000Z,SPY,247.0,SPY190204C00247000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,14.0
229,SPY190204C00248000_20190204_10,22.59,22.36,2019-02-04,0.8359391406,22.17,2019-02-04 14:48:49,493.0,2019-02-04T16:25:01.000Z,SPY,248.0,SPY190204C00248000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
231,SPY190204C00249000_20190204_10,21.64,21.34,2019-02-04,0.8593764062,21.37,2019-02-01 16:11:53,54.0,2019-02-04T16:25:01.000Z,SPY,249.0,SPY190204C00249000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
233,SPY190204C00250000_20190204_10,20.56,20.34,2019-02-04,0.7265652344,20.76,2019-02-01 17:09:15,938.0,2019-02-04T16:25:01.000Z,SPY,250.0,SPY190204C00250000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
236,SPY190204C00251000_20190204_10,19.51,19.25,2019-02-04,0.5859416406,12.75,2019-01-29 17:10:58,663.0,2019-02-04T16:25:01.000Z,SPY,251.0,SPY190204C00251000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,5.0
238,SPY190204C00252000_20190204_10,18.56,18.32,2019-02-04,0.6640658594,17.77,2019-02-01 19:05:59,165.0,2019-02-04T16:25:01.000Z,SPY,252.0,SPY190204C00252000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
241,SPY190204C00253000_20190204_10,17.56,17.34,2019-02-04,0.6328161719,10.34,2019-01-28 18:13:35,89.0,2019-02-04T16:25:01.000Z,SPY,253.0,SPY190204C00253000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
244,SPY190204C00254000_20190204_10,16.47,16.21,2019-02-04,1e-05,15.75,2019-02-04 14:42:45,134.0,2019-02-04T16:25:01.000Z,SPY,254.0,SPY190204C00254000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
247,SPY190204C00255000_20190204_10,15.54,15.25,2019-02-04,0.5390671094,15.03,2019-02-04 14:58:02,336.0,2019-02-04T16:25:01.000Z,SPY,255.0,SPY190204C00255000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,100.0
250,SPY190204C00256000_20190204_10,14.56,14.34,2019-02-04,0.5371140039,13.43,2019-02-04 15:05:33,52.0,2019-02-04T16:25:01.000Z,SPY,256.0,SPY190204C00256000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,1.0
253,SPY190204C00257000_20190204_10,13.58,13.34,2019-02-04,0.5273484766,12.89,2019-02-04 15:00:19,95.0,2019-02-04T16:25:01.000Z,SPY,257.0,SPY190204C00257000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,50.0
257,SPY190204C00258000_20190204_10,12.58,12.34,2019-02-04,0.4941456836,12.5,2019-02-01 15:04:43,168.0,2019-02-04T16:25:01.000Z,SPY,258.0,SPY190204C00258000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
260,SPY190204C00259000_20190204_10,11.47,11.14,2019-02-04,1e-05,10.49,2019-02-04 15:01:24,149.0,2019-02-04T16:25:01.000Z,SPY,259.0,SPY190204C00259000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,25.0
262,SPY190204C00260000_20190204_10,10.47,10.14,2019-02-04,1e-05,9.55,2019-02-04 15:04:35,1755.0,2019-02-04T16:25:01.000Z,SPY,260.0,SPY190204C00260000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,61.0
265,SPY190204C00261000_20190204_10,9.58,9.25,2019-02-04,0.3916076465,8.91,2019-02-04 15:31:28,1229.0,2019-02-04T16:25:01.000Z,SPY,261.0,SPY190204C00261000,Call,270.49,20190204,2019-02-04 10:25:13,10,10:25:13,2.0
