Date,Open,High,Low,Close,Adj Close,Volume
2017-04-19,234.52,234.95,-5,1.0,1.0,68699900
2017-04-20,234.15,235.85,-5,1.0,1.0,92572200
2017-04-21,235.25,235.31,-5,1.0,1.0,110389800
2017-04-24,237.18,237.41,-5,-1.0,-1.0,119209900
2017-04-25,237.91,238.95,-5,-1.0,-1.0,76698300
2017-04-26,238.51,239.53,-5,-1.0,-1.0,84702500
2017-04-27,238.77,238.95,-5,1.0,1.0,57410300
2017-04-28,238.9,238.93,-5,1.0,1.0,63532800
2017-05-01,238.68,239.17,-5,1.0,1.0,66882500
2017-05-02,238.84,238.98,-5,1.0,1.0,57375700
2017-05-03,238.77,238.88,-5,1.0,1.0,73137700
2017-05-04,238.83,238.92,-5,1.0,1.0,61462700
2017-05-05,239.19,239.72,-5,1.0,1.0,62001300
2017-05-08,239.75,239.92,-5,1.0,1.0,48385700
2017-05-09,239.96,240.19,-5,1.0,1.0,51363200
2017-05-10,239.39,239.87,-5,1.0,1.0,54293800
2017-05-11,239.35,239.57,-5,1.0,1.0,62358300
2017-05-12,239.09,239.43,-5,1.0,1.0,53912700
2017-05-15,239.47,240.44,-5,1.0,1.0,61918900
2017-05-16,240.64,240.67,-5,1.0,1.0,51241800
2017-05-17,240.08,240.08,-5,1.0,1.0,172174100
2017-05-18,235.73,237.75,-5,1.0,1.0,107047700
2017-05-19,237.33,239.08,-5,1.0,1.0,115011400
2017-05-22,238.9,239.71,-5,1.0,1.0,61010600
2017-05-23,239.95,240.24,-5,1.0,1.0,48341700
2017-05-24,240.32,240.73,-5,-1.0,-1.0,46927700
2017-05-25,241.2,242.08,-5,-1.0,-1.0,64071700
2017-05-26,241.54,241.9,-5,1.0,1.0,46629900
2017-05-30,241.34,241.79,-5,1.0,1.0,35201900
2017-05-31,241.84,241.88,-5,1.0,1.0,91796000
2017-06-01,241.97,243.38,-5,1.0,1.0,68962000
2017-06-02,243.42,244.35,-5,1.0,1.0,88666100
2017-06-05,243.97,244.3,-5,1.0,1.0,44698800
2017-06-06,243.34,243.98,-5,1.0,1.0,50375400
2017-06-07,243.6,243.92,-5,1.0,1.0,54144300
2017-06-08,243.77,244.33,-5,1.0,1.0,65950700
2017-06-09,244.09,245.01,-5,1.0,1.0,132256400
2017-06-12,243.13,243.42,-5,1.0,1.0,86108100
2017-06-13,243.98,244.61,-5,1.0,1.0,60067000
2017-06-14,244.86,244.87,-5,1.0,1.0,78602300
2017-06-15,242.68,243.91,-5,1.0,1.0,66464900
2017-06-16,242.77,242.83,-5,1.0,1.0,84553100
2017-06-19,243.59,244.73,-5,1.0,1.0,65123800
2017-06-20,244.25,244.26,-5,1.0,1.0,56906400
2017-06-21,243.46,243.59,-5,1.0,1.0,55977600
2017-06-22,242.96,243.53,-5,1.0,1.0,44148100
2017-06-23,242.91,243.51,-5,1.0,1.0,66986800
2017-06-26,243.9,244.38,-5,1.0,1.0,56700500
2017-06-27,243.04,243.38,-5,1.0,1.0,82247700
2017-06-28,242.5,243.72,-5,1.0,1.0,70042600
2017-06-29,243.66,243.72,-5,1.0,1.0,106949700
2017-06-30,242.28,242.71,-5,1.0,1.0,86820700
2017-07-03,242.88,243.38,-5,1.0,1.0,39153800
